table,format,size (MB),query,time (seconds),comment
CLUSTERED BY origin,ORC,107,3,121,MR WITH VECTORIZATION
CLUSTERED BY origin,ORC,107,4,70,MR WITH VECTORIZATION
CLUSTERED BY origin,PARQUET,135,1,61,MR DEFAULT
CLUSTERED BY origin,PARQUET,135,2,102,MR DEFAULT
CLUSTERED BY origin,PARQUET,135,3,141,MR DEFAULT
CLUSTERED BY origin,PARQUET,135,4,79,MR DEFAULT
CLUSTERED BY origin,PARQUET,135,1,-1,FAILED INDEX BUILD
CLUSTERED BY origin,PARQUET,135,2,-1,FAILED INDEX BUILD
CLUSTERED BY origin,PARQUET,135,3,-1,FAILED INDEX BUILD
CLUSTERED BY origin,PARQUET,135,4,-1,FAILED INDEX BUILD
CLUSTERED BY origin,PARQUET,135,1,22,TEZ
CLUSTERED BY origin,PARQUET,135,2,7,TEZ
CLUSTERED BY origin,PARQUET,135,3,7,TEZ
CLUSTERED BY origin,PARQUET,135,4,4,TEZ
CLUSTERED BY origin,PARQUET,135,1,73,MR WITH VECTORIZATION
CLUSTERED BY origin,PARQUET,135,2,100,MR WITH VECTORIZATION
CLUSTERED BY origin,PARQUET,135,3,148,MR WITH VECTORIZATION
CLUSTERED BY origin,PARQUET,135,4,76,MR WITH VECTORIZATION
CLUSTERED BY carrier,TEXTFORMAT,1082,1,192,MR DEFAULT
CLUSTERED BY carrier,TEXTFORMAT,1082,2,233,MR DEFAULT
CLUSTERED BY carrier,TEXTFORMAT,1082,3,410,MR DEFAULT
CLUSTERED BY carrier,TEXTFORMAT,1082,4,213,MR DEFAULT
CLUSTERED BY carrier,TEXTFORMAT,1082,1,202,MR WITH INDEX
CLUSTERED BY carrier,TEXTFORMAT,1082,2,261,MR WITH INDEX
CLUSTERED BY carrier,TEXTFORMAT,1082,3,505,MR WITH INDEX
CLUSTERED BY carrier,TEXTFORMAT,1082,4,239,MR WITH INDEX
CLUSTERED BY carrier,TEXTFORMAT,1082,1,160,TEZ
CLUSTERED BY carrier,TEXTFORMAT,1082,2,341,TEZ
CLUSTERED BY carrier,TEXTFORMAT,1082,3,329,TEZ
CLUSTERED BY carrier,TEXTFORMAT,1082,4,178,TEZ
CLUSTERED BY carrier,TEXTFORMAT,1082,1,274,MR WITH VECTORIZATION
CLUSTERED BY carrier,TEXTFORMAT,1082,2,286,MR WITH VECTORIZATION
CLUSTERED BY carrier,TEXTFORMAT,1082,3,441,MR WITH VECTORIZATION
CLUSTERED BY carrier,TEXTFORMAT,1082,4,230,MR WITH VECTORIZATION
CLUSTERED BY carrier,AVRO,513,1,201,MR DEFAULT
CLUSTERED BY carrier,AVRO,513,2,301,MR DEFAULT
CLUSTERED BY carrier,AVRO,513,3,406,MR DEFAULT
CLUSTERED BY carrier,AVRO,513,4,220,MR DEFAULT
CLUSTERED BY carrier,AVRO,513,1,207,MR WITH INDEX
CLUSTERED BY carrier,AVRO,513,2,320,MR WITH INDEX
CLUSTERED BY carrier,AVRO,513,3,399,MR WITH INDEX
CLUSTERED BY carrier,AVRO,513,4,208,MR WITH INDEX
CLUSTERED BY carrier,AVRO,513,1,60,TEZ
CLUSTERED BY carrier,AVRO,513,2,89,TEZ
CLUSTERED BY carrier,AVRO,513,3,100,TEZ
CLUSTERED BY carrier,AVRO,513,4,53,TEZ
CLUSTERED BY carrier,AVRO,513,1,205,MR WITH VECTORIZATION
CLUSTERED BY carrier,AVRO,513,2,301,MR WITH VECTORIZATION
CLUSTERED BY carrier,AVRO,513,3,394,MR WITH VECTORIZATION
CLUSTERED BY carrier,AVRO,513,4,201,MR WITH VECTORIZATION
CLUSTERED BY carrier,RCFILE,323,1,83,MR DEFAULT
CLUSTERED BY carrier,RCFILE,323,2,110,MR DEFAULT
CLUSTERED BY carrier,RCFILE,323,3,179,MR DEFAULT
CLUSTERED BY carrier,RCFILE,323,4,98,MR DEFAULT
CLUSTERED BY carrier,RCFILE,323,1,75,MR WITH INDEX
CLUSTERED BY carrier,RCFILE,323,2,113,MR WITH INDEX
CLUSTERED BY carrier,RCFILE,323,3,232,MR WITH INDEX
CLUSTERED BY carrier,RCFILE,323,4,111,MR WITH INDEX
CLUSTERED BY carrier,RCFILE,323,1,27,TEZ
CLUSTERED BY carrier,RCFILE,323,2,9,TEZ
CLUSTERED BY carrier,RCFILE,323,3,9,TEZ
CLUSTERED BY carrier,RCFILE,323,4,5,TEZ
CLUSTERED BY carrier,RCFILE,323,1,95,MR WITH VECTORIZATION
CLUSTERED BY carrier,RCFILE,323,2,125,MR WITH VECTORIZATION
CLUSTERED BY carrier,RCFILE,323,3,212,MR WITH VECTORIZATION
CLUSTERED BY carrier,RCFILE,323,4,116,MR WITH VECTORIZATION
CLUSTERED BY carrier,ORC,118,1,60,MR DEFAULT
